ID,예민함정도,의견수용,말수,시간약속,리더십,체력,청결민감도,여행일정강도,국내or해외,산or바다,계획or즉흥,랜드마크,코골이,웨이팅,여행희망지역,싫어하는기후,여행목적,숙소유형,기상시간,여행예산,Summary,Profile,Rec_People,Rec_Travel
25,보통,다소 완고,많다,종종 늦음,보통,5,꽤 민감,매우 빡빡하게,국내,산,즉흥 여행,무조건 다 봄,코골이 함,다른 곳 간다,"유럽,그 외,국내","건조함,더움,습함","미식,문화&역사체험,기록","콘도,상관없음,펜션",오전 9-10시,200-300만원,"이번 여행에서는 미식과 문화, 역사 체험을 목표로 하고 있으며, 가장 기대되는 것은 다양한 유럽의 랜드마크와 문화 유적지를 방문하는 것입니다. 여행 중에는 즉흥적인 계획을 선호하지만, 일정이 빡빡해서 많이 돌아다닐 것 같으며 오전 9-10시에 기상하여 코골이에 불편함이 없는 숙소를 중요하게 생각합니다. 전에 여행에서는 숙소가 더럽거나 코골이로 인해 잠을 잘 못 잔 것이 최악의 경험이었기 때문에 청결한 숙소를 꼭 체크하고 싶습니다. 함께 여행할 사람은 의견이 맞고 대화가 잘 통하는 사람이 좋습니다. 이번 여행을 통해 새로운 문화와 역사를 체험하면서 삶에 신선한 자극과 영감을 얻고 싶습니다.","이 사용자는 유럽 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 문화&역사체험이며, 콘도에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
26,매우 민감,수용적,보통,꽤 정확,무조건 리드,4,매우 둔감,매우 빡빡하게,국내,바다,즉흥 여행,적당히 봄,코골이 함,기다림,"그 외,미국,세계일주","건조함,더움,상관없음","휴식,문화&역사체험,공연&경기관람","3성이하 호텔,상관없음,콘도",오전 10시 이후,300-400만원,"여행 중 최악의 경험은 더운 기후에서 오는 불쾌함이나 건조한 날씨일 수 있으며, 이로 인해 휴식과 문화 체험의 방해를 받을 수 있어요. 이번 여행에서는 피곤함을 덜어줄 적절한 숙소와 유연한 일정을 확보하는 것이 우선입니다. 저는 여행 중에 수용적이고 긍정적인 태도를 가진 사람들과 함께하면 좋다고 생각합니다. 무엇보다 이번 여행에서 문화와 역사를 체험하고 공연을 관람하는 것에 큰 기대를 가지고 있으며, 이러한 경험들이 제 삶에 새로운 영감을 주고, 스트레스를 줄여주는 의미를 가져다주었으면 해요.","이 사용자는 세계일주 지역을 선호하고, 상관없음 기후를 피하고 싶어해요. 여행 목적은 문화&역사체험이며, 3성이하 호텔에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
27,꽤 민감,수용적,많다,보통,따르는 편,2,매우 둔감,꽤 여유있게,국내,바다,계획 여행,무조건 다 봄,코골이 안함,기다림,"동남아,유럽,국내","습함,더움,추움","사람&관계,휴식,문화&역사체험","4-5성급호텔,게스트하우스,3성이하 호텔",오전 8-9시,400만원 이상,"여행 중 최악의 경험은 높은 습도와 더위로 인해 몸이 지쳐버린 상황이었습니다. 그래서 이번 여행에서는 날씨가 쾌적하게 유지될 수 있도록 신경 쓰고 싶습니다. 저는 수용적이고 말 많은 편이기 때문에 함께 가는 여행자는 대화가 잘 통하고 이해심이 있는 사람이라면 좋겠습니다. 이번 여행에서 가장 기대하는 것은 문화와 역사를 체험하는 것으로, 이러한 활동이 저에게 깊은 만족감을 줄 것이라고 생각합니다. 여행은 새로운 사람들과의 관계와 휴식을 통해 제 삶에 풍부한 의미를 더해줄 기회로 여깁니다.","이 사용자는 유럽 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 문화&역사체험이며, 4-5성급호텔에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
28,매우 민감,다소 완고,매우 적다,꽤 정확,보통,2,매우 둔감,꽤 여유있게,해외,산,즉흥 여행,적당히 봄,코골이 함,기다림,"중국&몽골,세계일주,동남아","추움,쌀쌀함,더움","자연감상,사람&관계,액티비티","4-5성급호텔,게스트하우스,콘도",오전 10시 이후,200-300만원,"저는 여행 중에 추운 기후 때문에 불편했던 경험이 가장 최악이었습니다. 그래서 이번 여행에서는 따뜻한 기후와 편안한 숙소가 꼭 필요하다고 생각합니다. 함께 여행을 가고 싶은 사람은 성격이 둔감하고 여유 있는 일정에도 편안해할 수 있는 사람들이며, 말수가 적은 저와도 잘 맞을 수 있으면 좋겠습니다. 이번 여행에서는 자연 감상과 사람들과의 관계 형성을 가장 기대하고 있으며, 이런 경험이 제 삶에 활기를 불어넣기를 바랍니다. 저에게 이번 여행은 자연을 감상하며 새로운 관점들을 얻고, 내면의 풍요로움을 찾는 시간이 되었으면 합니다.","이 사용자는 중국&몽골 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 자연감상이며, 4-5성급호텔에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
29,매우 민감,매우 수용적,매우 적다,매우 정확,따르는 편,5,꽤 민감,꽤 빡빡하게,국내,바다,계획 여행,무조건 다 봄,코골이 함,기다림,"일본,세계일주,동남아","건조함,쌀쌀함,습함","액티비티,휴식,기록","콘도,3성이하 호텔,민박",오전 8-9시,400만원 이상,"저는 여행 중에 습하고 쌀쌀한 날씨가 가장 싫고, 이번 여행에서는 꼭 활동적인 액티비티를 계획대로 수행하고 싶어요. 함께 여행하고 싶은 사람은 의견을 잘 수용하고 시간 약속에 철저한 사람이면 좋겠고, 무엇보다도 조용히 즐길 수 있는 사람이면 좋겠어요. 바다를 보며 휴식을 취하는 것이 이번 여행에서 가장 기대되는 부분이며, 이를 기록으로 남겨 나중에 다시 볼 수 있었으면 해요. 이번 여행은 저에게 감정적 기록을 남기고 일상의 스트레스를 해소하는 의미가 있기를 바라요.","이 사용자는 일본 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 기록이며, 3성이하 호텔에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
30,꽤 민감,매우 완고,적다,자주 늦음,무조건 따름,3,둔감,꽤 빡빡하게,해외,산,계획 여행,적당히 봄,코골이 함,기다림,"일본,미국,그 외","추움,건조함,더움","액티비티,사람&관계,도전과성장","4-5성급호텔,펜션,게스트하우스",오전 9-10시,300-400만원,"저는 여행 중 건조하고 추운 기후를 싫어해서 이런 환경을 자주 경험하는 것이 최악의 경험이었어요. 이번 여행에서는 잘 계획된 일정과 함께 쉴 수 있는 4-5성급 호텔에 꼭 머물고 싶어요. 같이 여행을 가고 싶은 사람은 제가 예민한 편이니, 배려심이 많고 계획을 잘 따르는 사람일 거예요. 여행에서 액티비티와 도전적인 경험을 통해 새로운 사람들과의 관계 구축을 가장 기대합니다. 결국 이 여행이 저에게 도전과 성장을 통해 의미 있는 변화와 성찰의 시간을 가져다주길 바랍니다.","이 사용자는 일본 지역을 선호하고, 건조함 기후를 피하고 싶어해요. 여행 목적은 도전과성장이며, 4-5성급호텔에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
31,둔감,매우 완고,많다,자주 늦음,따르는 편,4,보통,매우 여유있게,국내,바다,즉흥 여행,적당히 봄,코골이 안함,기다림,"국내,세계일주,미국","건조함,추움,습함","문화&역사체험,사람&관계,기록","펜션,게스트하우스,상관없음",오전 10시 이후,400만원 이상,"저는 국내 여행을 즐기며 여유로운 일정을 선호하고, 아침 늦게 일어나는 편이라 여유로운 게스트하우스가 좋습니다. 여행 중 최악의 경험은 기후가 습하거나 추운 곳에 있을 때이며, 이번 여행에서는 이를 피하려고 합니다. 여행에서 기록을 남기는 것이 중요하고, 문화와 역사 체험을 기대하며, 이는 공감할 수 있고 큰 목소리를 잘 맞출 수 있는 사람과 함께 하고 싶습니다. 삶에서 여행이 의미 있게 남으려면 사람들과의 관계를 풍부하게 하는 것이 중요하고, 궂은 날씨 등 예상치 못한 것에 덜 예민하게 대응하며 사람들을 잘 기다리려고 합니다. 이번 여행은 저에게 다양한 관계와 추억을 만들어 주기를 바랍니다.","이 사용자는 국내 지역을 선호하고, 습함 기후를 피하고 싶어해요. 여행 목적은 기록이며, 게스트하우스에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
32,둔감,매우 수용적,매우 많다,자주 늦음,리드하는편,5,매우 민감,보통,국내,산,계획 여행,무조건 다 봄,코골이 안함,기다림,"유럽,일본,동남아","쌀쌀함,습함,건조함","액티비티,문화&역사체험,사람&관계","펜션,콘도,민박",오전 10시 이후,100만원 이하,"여행 중 최악의 경험은 아마도 쌀쌀하고 습한 기후를 만났을 때일 것입니다. 이번 여행에서 꼭 필요한 것은 모든 랜드마크를 놓치지 않기 위한 세심한 계획이며, 함께 여행하고 싶은 사람은 활발하고 대화가 많은 사람일 것입니다. 이번 여행에서 가장 기대하는 것은 새로운 지역에서의 문화와 역사 체험, 그리고 다양한 사람들과의 교류입니다. 이번 여행이 저의 삶에 가져다주길 바라는 의미는 일상의 풍경을 넘어서서 새로운 영감을 얻고, 사람들과의 관계를 통해 폭넓은 시각을 갖는 것입니다.","이 사용자는 유럽 지역을 선호하고, 쌀쌀함 기후를 피하고 싶어해요. 여행 목적은 액티비티이며, 펜션에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
33,매우 민감,매우 완고,보통,매우 정확,보통,4,둔감,매우 여유있게,해외,산,계획 여행,적당히 봄,코골이 함,기다림,"그 외,동남아,미국","쌀쌀함,습함,추움","공연&경기관람,미식,쇼핑","4-5성급호텔,3성이하 호텔,게스트하우스",오전 9-10시,100만원 이하,저는 여행 중에 여유롭지 못한 일정과 쌀쌀하거나 습한 기후가 최악의 경험이었어요. 그래서 이번 여행에서는 시간 약속을 엄격히 지키면서도 여유로운 일정을 통해 스트레스를 줄이고 싶습니다. 함께 여행을 가고 싶은 사람의 특징은 저처럼 의견에 확고하고 계획을 잘 따르는 사람입니다. 이번 여행에서 가장 기대하는 것은 쇼핑과 다양한 공연 및 경기 관람을 통한 새로운 경험입니다. 이번 여행을 통해 일상에서 벗어나 스트레스를 해소하고 저에게 즐거움과 만족을 주는 의미 있는 시간을 갖고 싶습니다.,"이 사용자는 동남아 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 쇼핑이며, 4-5성급호텔에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
34,보통,매우 수용적,매우 적다,종종 늦음,리드하는편,2,꽤 민감,매우 빡빡하게,해외,바다,계획 여행,적당히 봄,코골이 함,다른 곳 간다,"그 외,세계일주,미국","추움,쌀쌀함,건조함","휴식,도전과성장,자연감상","에어비엔비,민박,상관없음",오전 10시 이후,200-300만원,"여행 중 최악의 경험은 추운 날씨에서 오래 머무르는 것이고, 이를 피하기 위해 따뜻한 기후의 지역을 계획적으로 여행하려고 노력합니다. 이번 여행에서는 자연 감상을 위한 시간이 꼭 필요하며, 이러한 목적을 충분히 즐기기 위해 체력과 시간 계획이 중요합니다. 함께 여행하고 싶은 사람은 예민하지 않고 수용적인 성향을 가진 사람이면 좋겠습니다. 특히 이번 여행에서는 세계 곳곳의 자연을 탐험하고 다양한 문화를 체험하는 것이 기대됩니다. 이 여행이 저에게 휴식뿐만 아니라 도전과 성장을 통해 삶에 긍정적인 변화를 가져오길 바랍니다.","이 사용자는 세계일주 지역을 선호하고, 건조함 기후를 피하고 싶어해요. 여행 목적은 자연감상이며, 상관없음에서 머무는 걸 좋아하고 오전 10시 이후쯤 기상하는 편이에요.",,
35,매우 둔감,수용적,적다,자주 늦음,리드하는편,4,꽤 민감,꽤 빡빡하게,국내,산,즉흥 여행,적당히 봄,코골이 함,다른 곳 간다,"일본,중국&몽골,그 외","더움,건조함,상관없음","도전과성장,문화&역사체험,사람&관계","상관없음,게스트하우스,에어비엔비",오전 8-9시,400만원 이상,"여행 중 최악의 경험은 아마도 계획된 시간에 맞추지 못해 생긴 혼란일 것입니다. 이번 여행에서 꼭 필요한 것은 다양한 문화와 역사 체험을 할 수 있는 기회이고, 도전과 성장을 원하기 때문입니다. 같이 여행을 가고 싶은 사람은 의견을 잘 수용하고, 여행 일정을 꽉 채우기보다는 즉흥적으로 즐길 수 있는 사람이면 좋겠습니다. 이번 여행에서 가장 기대하는 것은 일본의 문화와 역사를 깊이 있게 체험하는 것입니다. 이번 여행이 삶에 가져다줬으면 하는 의미는 새로운 문화에서 도전을 통해 개인적인 성장과 관계의 확장을 이루는 것입니다.","이 사용자는 일본 지역을 선호하고, 더움 기후를 피하고 싶어해요. 여행 목적은 문화&역사체험이며, 에어비엔비에서 머무는 걸 좋아하고 오전 8-9시쯤 기상하는 편이에요.",,
36,매우 둔감,수용적,많다,꽤 정확,리드하는편,4,둔감,보통,국내,산,계획 여행,무조건 다 봄,코골이 안함,다른 곳 간다,"세계일주,그 외,일본","더움,습함,추움","미식,쇼핑,액티비티","상관없음,에어비엔비,게스트하우스",오전 9-10시,200-300만원,"저는 여행 중에 기후가 너무 덥거나 습하거나 추운 상황을 가장 피하고 싶어하며, 그런 날씨로 인해 불편함을 경험하는 것이 가장 최악의 경험이라고 할 수 있습니다. 이번 여행에서는 맛있는 음식과 충분한 쇼핑 기회를 꼭 얻고 싶고, 여행 동반자는 의견을 잘 수용하는 사람이면 좋겠습니다. 저는 여행을 계획적으로 하는 편이기 때문에 여행 일정에 대한 확실한 계획을 갖고 여행을 즐기는 것이 기대됩니다. 또한, 이번 여행이 저에게는 새로운 경험과 리프레시를 위한 의미 있는 시간이 되었으면 합니다. 마음 맞는 사람들과 좋은 추억을 만들면서 내가 원하는 세계일주와 같은 특별한 시간으로 기억되길 바랍니다.","이 사용자는 세계일주 지역을 선호하고, 추움 기후를 피하고 싶어해요. 여행 목적은 쇼핑이며, 에어비엔비에서 머무는 걸 좋아하고 오전 9-10시쯤 기상하는 편이에요.",,
